country,emoji
Ascension Island,\U0001F1E6\U0001F1E8
Andorra,\U0001F1E6\U0001F1E9
United Arab Emirates,\U0001F1E6\U0001F1EA
Afghanistan,\U0001F1E6\U0001F1EB
Antigua & Barbuda,\U0001F1E6\U0001F1EC
Anguilla,\U0001F1E6\U0001F1EE
Albania,\U0001F1E6\U0001F1F1
Armenia,\U0001F1E6\U0001F1F2
Angola,\U0001F1E6\U0001F1F4
Antarctica,\U0001F1E6\U0001F1F6
Argentina,\U0001F1E6\U0001F1F7
American Samoa,\U0001F1E6\U0001F1F8
Austria,\U0001F1E6\U0001F1F9
Australia,\U0001F1E6\U0001F1FA
Aruba,\U0001F1E6\U0001F1FC
Åland Islands,\U0001F1E6\U0001F1FD
Azerbaijan,\U0001F1E6\U0001F1FF
Bosnia & Herzegovina,\U0001F1E7\U0001F1E6
Barbados,\U0001F1E7\U0001F1E7
Bangladesh,\U0001F1E7\U0001F1E9
Belgium,\U0001F1E7\U0001F1EA
Burkina Faso,\U0001F1E7\U0001F1EB
Bulgaria,\U0001F1E7\U0001F1EC
Bahrain,\U0001F1E7\U0001F1ED
Burundi,\U0001F1E7\U0001F1EE
Benin,\U0001F1E7\U0001F1EF
St. Barthélemy,\U0001F1E7\U0001F1F1
Bermuda,\U0001F1E7\U0001F1F2
Brunei,\U0001F1E7\U0001F1F3
Bolivia,\U0001F1E7\U0001F1F4
Caribbean Netherlands,\U0001F1E7\U0001F1F6
Brazil,\U0001F1E7\U0001F1F7
Bahamas,\U0001F1E7\U0001F1F8
Bhutan,\U0001F1E7\U0001F1F9
Bouvet Island,\U0001F1E7\U0001F1FB
Botswana,\U0001F1E7\U0001F1FC
Belarus,\U0001F1E7\U0001F1FE
Belize,\U0001F1E7\U0001F1FF
Canada,\U0001F1E8\U0001F1E6
Cocos (Keeling) Islands,\U0001F1E8\U0001F1E8
Congo - Kinshasa,\U0001F1E8\U0001F1E9
Central African Republic,\U0001F1E8\U0001F1EB
Congo - Brazzaville,\U0001F1E8\U0001F1EC
Switzerland,\U0001F1E8\U0001F1ED
Côte d’Ivoire,\U0001F1E8\U0001F1EE
Cook Islands,\U0001F1E8\U0001F1F0
Chile,\U0001F1E8\U0001F1F1
Cameroon,\U0001F1E8\U0001F1F2
China,\U0001F1E8\U0001F1F3
Colombia,\U0001F1E8\U0001F1F4
Clipperton Island,\U0001F1E8\U0001F1F5
Costa Rica,\U0001F1E8\U0001F1F7
Cuba,\U0001F1E8\U0001F1FA
Cape Verde,\U0001F1E8\U0001F1FB
Curaçao,\U0001F1E8\U0001F1FC
Christmas Island,\U0001F1E8\U0001F1FD
Cyprus,\U0001F1E8\U0001F1FE
Czechia,\U0001F1E8\U0001F1FF
Germany,\U0001F1E9\U0001F1EA
Diego Garcia,\U0001F1E9\U0001F1EC
Djibouti,\U0001F1E9\U0001F1EF
Denmark,\U0001F1E9\U0001F1F0
Dominica,\U0001F1E9\U0001F1F2
Dominican Republic,\U0001F1E9\U0001F1F4
Algeria,\U0001F1E9\U0001F1FF
Ceuta & Melilla,\U0001F1EA\U0001F1E6
Ecuador,\U0001F1EA\U0001F1E8
Estonia,\U0001F1EA\U0001F1EA
Egypt,\U0001F1EA\U0001F1EC
Western Sahara,\U0001F1EA\U0001F1ED
Eritrea,\U0001F1EA\U0001F1F7
Spain,\U0001F1EA\U0001F1F8
Ethiopia,\U0001F1EA\U0001F1F9
European Union,\U0001F1EA\U0001F1FA
Finland,\U0001F1EB\U0001F1EE
Fiji,\U0001F1EB\U0001F1EF
Falkland Islands,\U0001F1EB\U0001F1F0
Micronesia,\U0001F1EB\U0001F1F2
Faroe Islands,\U0001F1EB\U0001F1F4
France,\U0001F1EB\U0001F1F7
Gabon,\U0001F1EC\U0001F1E6
United Kingdom,\U0001F1EC\U0001F1E7
Grenada,\U0001F1EC\U0001F1E9
Georgia,\U0001F1EC\U0001F1EA
French Guiana,\U0001F1EC\U0001F1EB
Guernsey,\U0001F1EC\U0001F1EC
Ghana,\U0001F1EC\U0001F1ED
Gibraltar,\U0001F1EC\U0001F1EE
Greenland,\U0001F1EC\U0001F1F1
Gambia,\U0001F1EC\U0001F1F2
Guinea,\U0001F1EC\U0001F1F3
Guadeloupe,\U0001F1EC\U0001F1F5
Equatorial Guinea,\U0001F1EC\U0001F1F6
Greece,\U0001F1EC\U0001F1F7
South Georgia & South Sandwich Islands,\U0001F1EC\U0001F1F8
Guatemala,\U0001F1EC\U0001F1F9
Guam,\U0001F1EC\U0001F1FA
Guinea-Bissau,\U0001F1EC\U0001F1FC
Guyana,\U0001F1EC\U0001F1FE
Hong Kong SAR China,\U0001F1ED\U0001F1F0
Heard & McDonald Islands,\U0001F1ED\U0001F1F2
Honduras,\U0001F1ED\U0001F1F3
Croatia,\U0001F1ED\U0001F1F7
Haiti,\U0001F1ED\U0001F1F9
Hungary,\U0001F1ED\U0001F1FA
Canary Islands,\U0001F1EE\U0001F1E8
Indonesia,\U0001F1EE\U0001F1E9
Ireland,\U0001F1EE\U0001F1EA
Israel,\U0001F1EE\U0001F1F1
Isle of Man,\U0001F1EE\U0001F1F2
India,\U0001F1EE\U0001F1F3
British Indian Ocean Territory,\U0001F1EE\U0001F1F4
Iraq,\U0001F1EE\U0001F1F6
Iran,\U0001F1EE\U0001F1F7
Iceland,\U0001F1EE\U0001F1F8
Italy,\U0001F1EE\U0001F1F9
Jersey,\U0001F1EF\U0001F1EA
Jamaica,\U0001F1EF\U0001F1F2
Jordan,\U0001F1EF\U0001F1F4
Japan,\U0001F1EF\U0001F1F5
Kenya,\U0001F1F0\U0001F1EA
Kyrgyzstan,\U0001F1F0\U0001F1EC
Cambodia,\U0001F1F0\U0001F1ED
Kiribati,\U0001F1F0\U0001F1EE
Comoros,\U0001F1F0\U0001F1F2
St. Kitts & Nevis,\U0001F1F0\U0001F1F3
North Korea,\U0001F1F0\U0001F1F5
South Korea,\U0001F1F0\U0001F1F7
Kuwait,\U0001F1F0\U0001F1FC
Cayman Islands,\U0001F1F0\U0001F1FE
Kazakhstan,\U0001F1F0\U0001F1FF
Laos,\U0001F1F1\U0001F1E6
Lebanon,\U0001F1F1\U0001F1E7
St. Lucia,\U0001F1F1\U0001F1E8
Liechtenstein,\U0001F1F1\U0001F1EE
Sri Lanka,\U0001F1F1\U0001F1F0
Liberia,\U0001F1F1\U0001F1F7
Lesotho,\U0001F1F1\U0001F1F8
Lithuania,\U0001F1F1\U0001F1F9
Luxembourg,\U0001F1F1\U0001F1FA
Latvia,\U0001F1F1\U0001F1FB
Libya,\U0001F1F1\U0001F1FE
Morocco,\U0001F1F2\U0001F1E6
Monaco,\U0001F1F2\U0001F1E8
Moldova,\U0001F1F2\U0001F1E9
Montenegro,\U0001F1F2\U0001F1EA
St. Martin,\U0001F1F2\U0001F1EB
Madagascar,\U0001F1F2\U0001F1EC
Marshall Islands,\U0001F1F2\U0001F1ED
North Macedonia,\U0001F1F2\U0001F1F0
Mali,\U0001F1F2\U0001F1F1
Myanmar (Burma),\U0001F1F2\U0001F1F2
Mongolia,\U0001F1F2\U0001F1F3
Macao SAR China,\U0001F1F2\U0001F1F4
Northern Mariana Islands,\U0001F1F2\U0001F1F5
Martinique,\U0001F1F2\U0001F1F6
Mauritania,\U0001F1F2\U0001F1F7
Montserrat,\U0001F1F2\U0001F1F8
Malta,\U0001F1F2\U0001F1F9
Mauritius,\U0001F1F2\U0001F1FA
Maldives,\U0001F1F2\U0001F1FB
Malawi,\U0001F1F2\U0001F1FC
Mexico,\U0001F1F2\U0001F1FD
Malaysia,\U0001F1F2\U0001F1FE
Mozambique,\U0001F1F2\U0001F1FF
Namibia,\U0001F1F3\U0001F1E6
New Caledonia,\U0001F1F3\U0001F1E8
