new,old
Angels,ANA
Angels,Los Angeles Angels
Diamondbacks,ARI
Diamondbacks,Arizona Diamondbacks
Braves,ATL
Braves,Atlanta Braves
Orioles,BAL
Orioles,Baltimore Orioles
Red Sox,BOS
Red Sox,Boston Red Sox
Cubs,CHC
Cubs,Chicago Cubs
White Sox,CHW
White Sox,Chicago White Sox
Reds,CIN
Reds,Cincinnati Reds
Guardians,CLE
Guardians,Cleveland Guardians
Rockies,COL
Rockies,Colorado Rockies
Tigers,DET
Tigers,Detroit Tigers
Marlins,FLA
Marlins,Miami Marlins
Astros,HOU
Astros,Houston Astros
Royals,KCR
Royals,Kansas City Royals
Dodgers,LAD
Dodgers,Los Angeles Dodgers
Brewers,MIL
Brewers,Milwaukee Brewers
Twins,MIN
Twins,Minnesota Twins
Mets,NYM
Mets,New York Mets
Yankees,NYY
Yankees,New York Yankees
Athletics,OAK
Athletics,Oakland Athletics
Phillies,PHI
Phillies,Philadelphia Phillies
Pirates,PIT
Pirates,Pittsburgh Pirates
Padres,SDP
Padres,San Diego Padres
Mariners,SEA
Mariners,Seattle Mariners
Giants,SFG
Giants,San Francisco Giants
Cardinals,STL
Cardinals,St. Louis Cardinals
Rays,TBD
Rays,Tampa Bay Rays
Rangers,TEX
Rangers,Texas Rangers
Blue Jays,TOR
Blue Jays,Toronto Blue Jays
Nationals,WSN
Nationals,Washington Nationals
