new,old
Hawks,ATL
Hawks,Atlanta Hawks
Celtics,BOS
Nets,BRK
Nets,Brooklyn Nets
Bulls,CHI
Hornets,CHO
Hornets,Charlotte Hornets
Cavaliers,CLE
Cavaliers,Cleveland Cavaliers
Mavericks,DAL
Mavericks,Dallas Mavericks
Nuggets,DEN
Nuggets,Denver Nuggets
Pistons,DET
Warriors,GSW
Rockets,HOU
Rockets,Houston Rockets
Pacers,IND
Pacers,Indiana Pacers
Clipppers,LAC
Clipppers,Los Angeles Clippers
Lakers,LAL
Lakers,Los Angeles Lakers
Grizzlies,MEM
Grizzlies,Memphis Grizzlies
Heat,MIA
Heat,Miami Heat
Bucks,MIL
Bucks,Milwaukee Bucks
Timberwolves,MIN
Timberwolves,Minnesota Timberwolves
Pelicans,NOP
Pelicans,New Orleans Pelicans
Knicks,NYK
Knicks,New York Knicks
Thunder,OKC
Thunder,Oklahoma City Thunder
Magic,ORL
76ers,PHI
76ers,Philadelphia 76ers
Suns,PHO
Trail Blazers,POR
Trail Blazers,Portland Trail Blazers
Kings,SAC
Kings,Sacramento Kings
Spurs,SAS
Spurs,San Antonio Spurs
Raptors,TOR
Raptors,Toronto Raptors
Jazz,UTA
Jazz,Utah Jazz
Wizards,WAS
Wizards,Washington Wizards
