new,old
Cardinals,ARI
Falcons,ATL
Ravens,BAL
Bills,BUF
Bills,Buffalo Bills
Panthers,CAR
Bears,CHI
Bengals,CIN
Bengals,Cincinnati Bengals
Browns,CLE
Cowboys,DAL
Cowboys,Dallas Cowboys
Broncos,DEN
Lions,DET
Packers,GB
Texans,HOU
Colts,IND
Jaguars,JAX
Jaguars,Jacksonville Jaguars
Chiefs,KC
Chiefs,Kansas City Chiefs
Chargers,LAC
Rams,LAR
Dolphins,MIA
Vikings,MIN
Patriots,NE
Saints,NO
Giants,NYG
Giants,New York Giants
Jets,NYJ
Raiders,OAK
Eagles,PHI
Eagles,Philadelphia Eagles
Steelers,PIT
Seahawks,SEA
49ers,SF
49ers,San Francisco 49ers
Buccaneers,TB
Titans,TEN
Commanders,WSH
