new,old
Ducks,Anaheim Ducks
Coyotes,Arizona Coyotes
Bruins,Boston Bruins
Sabres,Buffalo Sabres
Flames,Calgary Flames
Hurricanes,Carolina Hurricanes
Blackhawks,Chicago Blackhawks
Avalanche,Colorado Avalanche
Blue Jackets,Columbus Blue Jackets
Stars,Dallas Stars
Red Wings,Detroit Red Wings
Oilers,Edmonton Oilers
Panthers,Florida Panthers
Kings,Los Angeles Kings
Wild,Minnesota Wild
Canadiens,Montreal Canadiens
Canadiens,Montréal Canadiens
Predators,Nashville Predators
Devils,New Jersey Devils
Islanders,New York Islanders
Rangers,New York Rangers
Senators,Ottawa Senators
Flyers,Philadelphia Flyers
Penguins,Pittsburgh Penguins
Sharks,San Jose Sharks
Kraken,Seattle Kraken
Blues,St. Louis Blues
Lightning,Tampa Bay Lightning
Maple Leafs,Toronto Maple Leafs
Canucks,Vancouver Canucks
Golden Knights,Vegas Golden Knights
Capitals,Washington Capitals
Jets,Winnipeg Jets
