league,bookmaker,url
10,betsson,https://www.betsson.com/en/sportsbook/football/champions-league/champions-league
20,betsson,https://www.betsson.com/en/sportsbook/football/europa-league/europa-league
30,betsson,https://www.betsson.com/en/sportsbook/football/europa-conference-league/europa-conference-league
40,betsson,https://www.betsson.com/en/sportsbook/football/england/england-premier-league-epl
50,betsson,https://www.betsson.com/en/sportsbook/football/germany/germany-bundesliga
60,betsson,https://www.betsson.com/en/sportsbook/football/spain/spain-la-liga
70,betsson,https://www.betsson.com/en/sportsbook/football/italy/italy-serie-a
80,betsson,https://www.betsson.com/en/sportsbook/football/france/france-ligue-1
90,betsson,https://www.betsson.com/en/sportsbook/football/netherlands/netherlands-eredivisie
100,betsson,https://www.betsson.com/en/sportsbook/football/portugal/portugal-primeira-liga
110,betsson,https://www.betsson.com/en/sportsbook/football/brazil/brazil-serie-a
120,betsson,https://www.betsson.com/en/sportsbook/football/north-america/mexico-liga-mx
130,betsson,https://www.betsson.com/en/sportsbook/football/north-america/mexico-liga-mx
140,betsson,https://www.betsson.com/en/sportsbook/football/europe/russia-pfl
150,betsson,https://www.betsson.com/en/sportsbook/football/england/england-efl-championship
160,betsson,https://www.betsson.com/en/sportsbook/football/europe/belgian-jupiler-league
170,betsson,https://www.betsson.com/en/sportsbook/football/europe/austria-bundesliga
180,betsson,https://www.betsson.com/en/sportsbook/football/turkey/turkey-super-lig
190,betsson,https://www.betsson.com/en/sportsbook/football/north-america/usa-mls
200,betsson,https://www.betsson.com/en/sportsbook/football/denmark/denmark-super-league
210,betsson,https://www.betsson.com/en/sportsbook/football/europe/scottish-premier-league
220,betsson,https://www.betsson.com/en/sportsbook/football/europe/switzerland-super-league
230,betsson,https://www.betsson.com/en/sportsbook/football/south-america/argentina-liga-profesional
240,betsson,https://www.betsson.com/en/sportsbook/football/asia/japan-j1-league
250,betsson,https://www.betsson.com/en/sportsbook/football/norway/norway-eliteserien
260,betsson,https://www.betsson.com/en/sportsbook/football/france/france-ligue-2
270,betsson,https://www.betsson.com/en/sportsbook/football/spain/spain-segunda-division
280,betsson,https://www.betsson.com/en/sportsbook/football/italy/italy-serie-b
290,betsson,https://www.betsson.com/en/sportsbook/football/europe/greece-super-league-1
300,betsson,https://www.betsson.com/en/sportsbook/football/germany/germany-2-bundesliga
310,betsson,https://www.betsson.com/en/sportsbook/football/sweden/swedish-allsvenskan
320,betsson,https://www.betsson.com/en/sportsbook/football/england/england-league-one
330,betsson,https://www.betsson.com/en/sportsbook/football/australia/australia-a-league
340,betsson,https://www.betsson.com/en/sportsbook/football/north-america/usa-usl-championship
350,betsson,https://www.betsson.com/en/sportsbook/football/africa/south-africa-psl
360,betsson,https://www.betsson.com/en/sportsbook/football/asia/china-superleague
370,betsson,https://www.betsson.com/en/sportsbook/football/england/england-league-two
1010,betsson,https://www.betsson.com/en/sportsbook/football/england/england-league-cup-women
1020,betsson,https://www.betsson.com/en/sportsbook/football/north-america/usa-nwsl
1030,betsson,https://www.betsson.com/en/sportsbook/football/north-america/usa-nwsl
10010,betsson,https://www.betsson.com/en/sportsbook/american-football/nfl/nfl
20010,betsson,https://www.betsson.com/en/sportsbook/basketball/nba/nba
21010,betsson,https://www.betsson.com/en/sportsbook/basketball/wnba/wnba
30010,betsson,https://www.betsson.com/en/sportsbook/baseball/mlb/mlb
40010,betsson,https://www.betsson.com/en/sportsbook/ice-hockey/nhl/nhl
10,betfair,https://www.betfair.com/exchange/plus/en/football/uefa-champions-league-betting-228
20,betfair,https://www.betfair.com/exchange/plus/en/football/uefa-europa-league-betting-2005
30,betfair,https://www.betfair.com/exchange/plus/en/football-betting-1
40,betfair,https://www.betfair.com/exchange/plus/en/football/english-premier-league-betting-10932509
50,betfair,https://www.betfair.com/exchange/plus/en/football/german-bundesliga-betting-59
60,betfair,https://www.betfair.com/exchange/plus/en/football/spanish-la-liga-betting-117
70,betfair,https://www.betfair.com/exchange/plus/en/football/italian-serie-a-betting-81
80,betfair,https://www.betfair.com/exchange/plus/en/football/french-ligue-1-betting-55
90,betfair,https://www.betfair.com/exchange/plus/en/football/dutch-eredivisie-betting-9404054
100,betfair,https://www.betfair.com/exchange/plus/en/football/portuguese-primeira-liga-betting-99
110,betfair,https://www.betfair.com/exchange/football/country/bra
120,betfair,https://www.betfair.com/exchange/plus/en/football/mexican-liga-mx-betting-5627174
130,betfair,https://www.betfair.com/exchange/plus/en/football/mexican-liga-mx-betting-5627174
140,betfair,https://www.betfair.com/exchange/football/country/rus
150,betfair,https://www.betfair.com/exchange/plus/en/football/english-championship-betting-7129730
160,betfair,https://www.betfair.com/exchange/plus/en/football/belgian-first-division-a-betting-89979
170,betfair,https://www.betfair.com/exchange/football/country/aut
180,betfair,https://www.betfair.com/exchange/plus/en/football/turkish-super-league-betting-194215
190,betfair,https://www.betfair.com/exchange/football/country/usa
200,betfair,https://www.betfair.com/exchange/football/country/dnk
210,betfair,https://www.betfair.com/exchange/plus/en/football/scottish-premiership-betting-105
220,betfair,https://www.betfair.com/exchange/plus/en/football/swiss-super-league-betting-133
230,betfair,https://www.betfair.com/exchange/plus/en/football/argentinian-primera-division-betting-67387
240,betfair,https://www.betfair.com/exchange/football/country/jpn
250,betfair,https://www.betfair.com/exchange/football/country/nor
260,betfair,https://www.betfair.com/exchange/plus/en/football/french-ligue-2-betting-57
270,betfair,https://www.betfair.com/exchange/plus/en/football/spanish-segunda-division-betting-12204313
280,betfair,https://www.betfair.com/exchange/plus/en/football/italian-serie-b-betting-12199689
290,betfair,https://www.betfair.com/exchange/plus/en/football/greek-super-league-betting-67
300,betfair,https://www.betfair.com/exchange/plus/en/football/german-bundesliga-2-betting-61
310,betfair,https://www.betfair.com/exchange/plus/en/ice-hockey/swedish-allsvenskan-betting-10546796
320,betfair,https://www.betfair.com/exchange/plus/en/football/english-league-1-betting-35
330,betfair,https://www.betfair.com/exchange/plus/en/football/australian-a-league-men-betting-12117172
340,betfair,https://www.betfair.com/exchange/football/country/usa
350,betfair,https://www.betfair.com/exchange/football/country/zaf
360,betfair,https://www.betfair.com/exchange/football/country/chn
370,betfair,https://www.betfair.com/exchange/plus/en/football/english-league-2-betting-37
1010,betfair,https://www.betfair.com/exchange/football/country/usa
1020,betfair,https://www.betfair.com/exchange/football/country/usa
1030,betfair,https://www.betfair.com/exchange/football/country/usa
10010,betfair,https://www.betfair.com/exchange/plus/en/american-football/nfl-betting-12282733
20010,betfair,https://www.betfair.com/exchange/plus/en/basketball/nba-betting-10547864
21010,betfair,https://www.betfair.com/exchange/plus/en/basketball-betting-7522
30010,betfair,https://www.betfair.com/exchange/plus/en/baseball/major-league-baseball-betting-11196870
40010,betfair,https://www.betfair.com/exchange/plus/en/ice-hockey/nhl-betting-12300973
