user,league
-1001830638864,10
-1001830638864,20
-1001830638864,30
-1001830638864,40
-1001830638864,50
-1001830638864,60
-1001830638864,70
-1001830638864,80
-1001830638864,90
-1001830638864,100
-1001830638864,110
-1001830638864,120
-1001830638864,130
-1001830638864,140
-1001830638864,150
-1001830638864,160
-1001830638864,170
-1001830638864,180
-1001830638864,190
-1001830638864,200
-1001830638864,210
-1001830638864,220
-1001830638864,230
-1001830638864,240
-1001830638864,250
-1001830638864,260
-1001830638864,270
-1001830638864,280
-1001830638864,290
-1001830638864,300
-1001830638864,310
-1001830638864,320
-1001830638864,330
-1001830638864,340
-1001830638864,350
-1001830638864,360
-1001830638864,370
-1001830638864,1010
-1001830638864,1020
-1001830638864,1030
